"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","PAMCluster"
71.81,0.012,6.696,0.388,19.121,"18-08-31_YC004_probe1",200,0,0,0,0,0,"Pk",3
5.47,0.128,6.609,0.705,6.795,"18-08-31_YC004_probe1",22,0,0,0,0,0,"MLI",1
28.16,0.018,3.972,0.466,13.29,"18-08-31_YC004_probe1",26,0,0,0,0,0,"Unknown",5
0.85,0.848,5.723,1.06,6.368,"18-08-31_YC004_probe1",28,0,0,0,0,0,"CS",2
39.19,0.022,7.066,0.517,19.084,"18-08-31_YC004_probe1",60,0,0,0,0,0,"Pk",1
0.48,1.736,4.107,0.896,1.937,"18-08-31_YC004_probe1",63,0,0,0,0,0,"CS",2
2.17,0.233,5.889,0.837,4.542,"18-08-31_YC004_probe1",65,0,0,0,0,0,"Gr",5
8.39,0.087,6.658,0.66,7.277,"18-08-31_YC004_probe1",69,0,0,0,0,0,"MLI",1
5.82,0.134,6.817,0.63,5.064,"18-08-31_YC004_probe1",73,0,0,0,0,0,"MLI",1
16.21,0.022,5.08,1.013,79.179,"18-08-31_YC004_probe1",74,0,0,0,0,0,"GoMF",4
63.57,0.015,6.961,0.31,11.266,"18-08-31_YC004_probe1",83,0,0,0,0,0,"Pk",1
1.3,0.629,7.096,0.797,2.346,"18-08-31_YC004_probe1",90,0,0,0,0,0,"CS",2
1.02,0.878,7.045,0.815,1.998,"18-08-31_YC004_probe1",92,0,0,0,0,0,"CS",2
2.81,0.192,6.159,1.141,14.419,"18-09-03_YC005_probe1",0,0,0,0,0,0,"Gr",5
9.74,0.074,6.43,0.852,13.645,"18-09-03_YC005_probe1",107,0,0,0,0,0,"MLI",5
1.22,0.721,7.24,0.774,2.141,"18-09-03_YC005_probe1",115,0,0,0,0,0,"CS",2
1.58,0.552,7.185,0.783,2.643,"18-09-03_YC005_probe1",117,0,0,0,0,0,"CS",2
1.28,0.66,7.167,0.842,2.704,"18-09-03_YC005_probe1",120,0,0,0,0,0,"CS",2
1.32,0.677,7.212,0.786,2.26,"18-09-03_YC005_probe1",121,0,0,0,0,0,"CS",2
1.29,0.681,7.156,0.821,2.436,"18-09-03_YC005_probe1",123,0,0,0,0,0,"CS",2
1.07,0.81,7.177,0.827,2.198,"18-09-03_YC005_probe1",126,0,0,0,0,0,"CS",2
18.22,0.035,5.615,0.785,33.97,"18-09-03_YC005_probe1",130,0,0,0,0,0,"MLI",5
6.87,0.103,6.733,0.656,6.519,"18-09-03_YC005_probe1",133,0,0,0,0,0,"MLI",1
10.27,0.068,6.562,0.733,12.045,"18-09-03_YC005_probe1",150,0,0,0,0,0,"MLI",1
1.45,0.568,7.036,0.854,3.189,"18-09-03_YC005_probe1",169,0,0,0,0,0,"CS",2
160.95,0.005,6.442,0.272,22.191,"18-09-03_YC005_probe1",177,0,0,0,0,0,"Pk",3
9.97,0.066,6.466,0.821,15.21,"18-09-03_YC005_probe1",210,0,0,0,0,0,"MLI",1
10.6,0.037,5.567,0.94,21.715,"18-09-03_YC005_probe1",35,0,0,0,0,0,"GoMF",5
1.3,0.699,7.245,0.767,2.191,"18-09-03_YC005_probe1",36,0,0,0,0,0,"CS",2
25.82,0.016,3.332,0.485,16.565,"18-09-03_YC005_probe1",37,0,0,0,0,0,"Unknown",5
0.97,0.311,5.213,1.046,6.508,"18-09-03_YC005_probe1",50,0,0,0,0,0,"Gr",5
123.89,0.007,6.498,0.39,33.431,"18-09-03_YC005_probe1",52,0,0,0,0,0,"Pk",3
1.44,0.628,7.272,0.792,2.466,"18-09-03_YC005_probe1",67,0,0,0,0,0,"CS",2
1.45,0.635,7.357,0.752,2.249,"18-09-03_YC005_probe1",68,0,0,0,0,0,"CS",2
1.47,0.604,7.244,0.767,2.331,"18-09-03_YC005_probe1",70,0,0,0,0,0,"CS",2
1.48,0.611,7.316,0.744,2.237,"18-09-03_YC005_probe1",71,0,0,0,0,0,"CS",2
1.7,0.517,7.285,0.767,2.539,"18-09-03_YC005_probe1",73,0,0,0,0,0,"CS",2
1.41,0.63,7.29,0.769,2.254,"18-09-03_YC005_probe1",77,0,0,0,0,0,"CS",2
1.03,0.784,5.585,0.921,4.294,"18-09-03_YC005_probe1",78,0,0,0,0,0,"CS",2
1.38,0.667,7.348,0.697,1.927,"18-09-03_YC005_probe1",79,0,0,0,0,0,"CS",2
1.43,0.586,7.205,0.856,3.589,"18-09-03_YC005_probe1",80,0,0,0,0,0,"CS",2
1.52,0.569,7.272,0.799,2.522,"18-09-03_YC005_probe1",81,0,0,0,0,0,"CS",2
1.16,0.811,7.252,0.75,1.944,"18-09-03_YC005_probe1",84,0,0,0,0,0,"CS",2
