Sample,Unit,GoodChunks,WvfChunks
18-08-30_YC002_probe1,157,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[12, 13, 14]"
18-08-30_YC002_probe1,158,"[1, 8, 9, 10, 12, 13, 14]","[8, 9, 10]"
18-08-30_YC002_probe1,16,"[1, 2, 6, 7, 9, 10, 11]","[10, 11]"
18-08-30_YC002_probe1,163,"[16, 18, 19]","[19, 18]"
18-08-30_YC002_probe1,169,"[1, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19]","[11, 12, 13]"
18-08-30_YC002_probe1,170,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[6, 7, 8]"
18-08-30_YC002_probe1,173,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[1, 0, 2]"
18-08-30_YC002_probe1,180,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2]"
18-08-30_YC002_probe1,205,"[17, 18, 19]","[17, 18]"
18-08-30_YC002_probe1,21,"[10, 12, 13]",[10]
18-08-30_YC002_probe1,210,"[12, 14]",[14]
18-08-30_YC002_probe1,22,"[10, 11, 12, 14, 15, 16, 17, 18, 19]","[14, 15]"
18-08-30_YC002_probe1,255,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17]","[14, 15]"
18-08-30_YC002_probe1,26,"[0, 1, 2, 4, 5, 7, 9, 10, 12]","[1, 0, 2]"
