"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","Cluster"
74.07,0.013,7.128,0.309,13.246,"19-08-14_YC016_probe2","848",2
99.43,0.01,6.905,0.228,10.667,"19-08-14_YC016_probe2","910",2
93.75,0.01,7.025,0.295,14.848,"19-08-14_YC016_probe2","938",2
135.21,0.007,6.768,0.209,11.308,"19-08-14_YC016_probe2","959",2
100.33,0.009,7.026,0.332,19.548,"19-08-14_YC016_probe2","964",2
77.09,0.012,6.077,0.2,6.314,"19-08-14_YC016_probe2","979",2
85.56,0.011,7.053,0.418,27.655,"19-08-14_YC016_probe2","993",2
82.22,0.012,7.235,0.292,13.064,"19-08-15_YC016_probe1","59",2
176.58,0.005,6.424,0.196,14.151,"19-08-15_YC016_probe1","65",2
94.46,0.01,7.198,0.247,11.336,"19-08-15_YC016_probe1","66",2
55.2,0.014,6.736,0.733,61.122,"19-08-15_YC016_probe1","85",2
54.3,0.018,7.292,0.28,8.25,"19-08-15_YC016_probe1","9",2
29.06,0.03,6.544,0.358,8.067,"19-08-15_YC016_probe1","92",2
73.8,0.012,6.721,0.501,29.955,"19-08-16_YC014_probe1","147",2
31.55,0.029,6.888,0.587,26.778,"19-08-16_YC014_probe1","150",2
50.67,0.018,6.726,0.52,22.739,"19-08-16_YC014_probe1","187",2
55.12,0.016,7.102,0.471,23.59,"19-08-16_YC014_probe1","188",2
32.73,0.027,6.772,0.485,24.301,"19-08-16_YC014_probe1","201",2
35.95,0.025,7.132,0.364,14.055,"19-08-16_YC014_probe1","203",2
45.87,0.021,7.145,0.438,20.174,"19-08-16_YC014_probe1","208",2
21.98,0.043,7.058,0.389,11.326,"19-08-16_YC014_probe1","209",2
41.2,0.018,6.49,0.694,46.015,"19-08-16_YC014_probe1","325",2
16.75,0.058,7.054,0.418,7.939,"19-08-16_YC014_probe1","342",2
41.13,0.023,7.086,0.442,17.966,"19-08-16_YC014_probe1","344",2
39.18,0.026,7.398,0.279,15.915,"19-08-16_YC014_probe1","346",2
79.42,0.013,6.927,0.108,4.644,"19-08-16_YC014_probe1","350",2
35.97,0.024,7.006,0.524,19.174,"19-08-16_YC014_probe1","36",2
45.51,0.023,6.626,0.567,23.103,"19-08-16_YC014_probe1","39",2
37.68,0.02,6.486,0.586,26.304,"19-08-16_YC014_probe1","46",2
48.07,0.019,7.004,0.431,17.082,"19-08-16_YC014_probe1","462",2
45.56,0.017,6.683,0.525,27.427,"19-08-16_YC014_probe1","49",2
78.61,0.012,7.225,0.341,17.512,"19-08-16_YC014_probe1","61",2
71.46,0.012,6.809,0.492,34.455,"19-08-16_YC015_probe1","18",2
69.03,0.012,6.754,0.491,34.358,"19-08-16_YC015_probe1","19",2
71.59,0.012,6.981,0.478,32.209,"19-08-16_YC015_probe1","6",2
61.5,0.013,6.93,0.538,30.725,"19-09-30_YC017_probe1","111",2
107.1,0.008,6.751,0.468,39.758,"19-09-30_YC017_probe1","124",2
139.7,0.006,6.859,0.294,21.953,"19-09-30_YC017_probe1","127",2
108.43,0.008,7.154,0.444,38.668,"19-09-30_YC017_probe1","16",2
227.13,0.004,6.548,0.236,23.648,"19-09-30_YC017_probe1","163",2
72.97,0.013,7.022,0.368,17.707,"19-09-30_YC017_probe1","17",2
128,0.006,6.431,0.514,56.477,"19-09-30_YC017_probe1","177",2
82.51,0.011,7.115,0.33,16.537,"19-09-30_YC017_probe1","19",2
58.06,0.015,6.978,0.551,30.263,"19-09-30_YC017_probe1","2",2
82.71,0.01,6.676,0.405,26.076,"19-09-30_YC017_probe1","21",2
107.8,0.008,7.027,0.329,21.089,"19-09-30_YC017_probe1","235",2
134.18,0.006,6.661,0.381,33.675,"19-09-30_YC017_probe1","243",2
170.48,0.005,6.764,0.279,24.225,"19-09-30_YC017_probe1","247",2
191.69,0.004,6.493,0.305,32.901,"19-09-30_YC017_probe1","259",2
145.61,0.006,6.904,0.308,24.448,"19-09-30_YC017_probe1","268",2
98.71,0.009,6.955,0.385,26.547,"19-09-30_YC017_probe1","278",2
37.88,0.021,6.932,0.598,24.094,"19-09-30_YC017_probe1","3",2
116.63,0.008,6.823,0.333,22.697,"19-09-30_YC017_probe1","302",2
59.94,0.014,7.009,0.531,29.059,"19-09-30_YC017_probe1","35",2
108.73,0.009,7.276,0.414,38.592,"19-09-30_YC017_probe1","37",2
41.48,0.02,6.998,0.678,48.862,"19-09-30_YC017_probe1","381",2
63.57,0.013,6.882,0.383,21.252,"19-09-30_YC017_probe1","393",2
36.88,0.023,6.674,0.323,11.029,"19-09-30_YC017_probe1","529",2
69.5,0.012,6.9,0.5,29.653,"19-09-30_YC017_probe1","596",2
69.72,0.012,6.686,0.496,29.695,"19-09-30_YC017_probe1","600",2
60.91,0.015,7.215,0.597,46.141,"19-09-30_YC017_probe1","605",2
127.66,0.007,7.031,0.282,18.672,"19-09-30_YC017_probe1","652",2
44,0.019,7.028,0.61,29.544,"19-09-30_YC017_probe1","666",2
156.41,0.005,6.702,0.355,34.048,"19-09-30_YC017_probe1","670",2
89.66,0.01,7.053,0.455,32.056,"19-09-30_YC017_probe1","74",2
172.32,0.005,6.562,0.334,34.031,"19-09-30_YC017_probe1","745",2
64.05,0.011,6.212,0.516,29.67,"19-09-30_YC017_probe1","773",2
139.15,0.006,6.566,0.443,46.463,"19-09-30_YC017_probe1","844",2
51.75,0.015,6.883,0.555,27.176,"19-09-30_YC017_probe1","889",2
73.18,0.012,7.048,0.443,25.55,"19-09-30_YC017_probe1","950",2
60.09,0.015,6.82,0.304,10.061,"19-09-30_YC018_probe1","226",2
67.19,0.013,6.543,0.456,21.742,"19-09-30_YC018_probe1","232",2
74.18,0.012,7.024,0.287,11.471,"19-09-30_YC018_probe1","241",2
84.39,0.011,7.134,0.26,11.057,"19-09-30_YC018_probe1","242",2
89.49,0.01,6.83,0.333,17.901,"19-09-30_YC018_probe1","249",2
74.6,0.012,7.015,0.321,14.143,"19-09-30_YC018_probe1","251",2
116.54,0.008,6.982,0.207,9.426,"19-09-30_YC018_probe1","252",2
70.55,0.013,6.915,0.393,19.241,"19-09-30_YC018_probe1","254",2
50.12,0.017,6.745,0.38,12.667,"19-09-30_YC018_probe1","256",2
48.65,0.018,6.813,0.594,27.153,"19-09-30_YC018_probe1","281",2
8.55,0.104,7.268,0.395,3.573,"19-09-30_YC018_probe1","53",2
126.24,0.007,6.714,0.242,13.831,"19-09-30_YC018_probe1","725",2
111.68,0.008,6.873,0.238,12.542,"19-09-30_YC018_probe1","728",2
166.01,0.005,6.711,0.207,13.401,"19-09-30_YC018_probe1","729",2
138.52,0.007,6.855,0.199,11.16,"19-09-30_YC018_probe1","730",2
24,0.04,6.632,0.193,1.823,"19-09-30_YC018_probe1","735",2
232.05,0.004,6.043,0.065,2.251,"19-09-30_YC018_probe1","85",2
159.56,0.006,6.59,0.139,5.879,"19-09-30_YC018_probe1","94",2
86.06,0.013,6.492,0.711,49.972,"19-10-01_YC017_probe1","151",2
156.75,0.005,6.418,0.294,26.313,"19-10-01_YC017_probe1","156",2
127.27,0.007,7.008,0.329,24.633,"19-10-01_YC017_probe1","161",2
23.67,0.038,6.997,0.313,5.206,"19-10-01_YC017_probe1","175",2
34.14,0.025,6.791,0.37,11.495,"19-10-01_YC017_probe1","186",2
52.66,0.016,6.623,0.482,22.279,"19-10-01_YC017_probe1","192",2
18.8,0.043,6.391,0.375,6.802,"19-10-01_YC017_probe1","204",2
48.8,0.019,6.6,0.516,24.299,"19-10-01_YC017_probe1","238",2
29.74,0.03,7.06,0.44,10.622,"19-10-01_YC017_probe1","49",2
69.47,0.013,7.127,0.46,27.908,"19-10-01_YC017_probe1","58",2
59.53,0.015,7.002,0.564,30.996,"19-10-01_YC017_probe1","60",2
79.67,0.012,7.203,0.437,29.414,"19-10-01_YC017_probe1","62",2
85.89,0.009,6.847,0.652,65.735,"19-10-01_YC017_probe1","64",2
25.56,0.036,6.878,0.284,3.958,"19-10-01_YC017_probe1","74",2
59.53,0.015,7.274,0.621,50.609,"19-10-01_YC017_probe1","83",2
81.61,0.01,6.667,0.5,29.964,"19-10-02_YC019_probe1","19",2
62.14,0.015,7.026,0.402,18.815,"19-10-02_YC019_probe1","23",2
160.31,0.005,6.853,0.439,50.857,"19-10-02_YC019_probe1","26",2
172.02,0.005,7.043,0.456,58.063,"19-10-02_YC019_probe1","27",2
53.01,0.016,6.908,0.671,49.186,"19-10-02_YC019_probe1","28",2
73,0.012,6.985,0.393,21.435,"19-10-02_YC019_probe1","29",2
102.02,0.01,7.301,0.178,6.313,"19-10-02_YC019_probe1","3",2
89.48,0.01,7.117,0.474,38.503,"19-10-02_YC019_probe1","30",2
60.56,0.015,7.245,0.384,16.981,"19-10-02_YC019_probe1","32",2
68.37,0.012,7.037,0.642,51.848,"19-10-02_YC019_probe1","37",2
43.44,0.021,7.143,0.429,17.819,"19-10-02_YC019_probe1","47",2
89.27,0.011,7.241,0.361,21.044,"19-10-02_YC019_probe1","6",2
117.65,0.008,7.313,0.198,8.944,"19-10-02_YC019_probe1","8",2
141.82,0.007,7.061,0.27,18.517,"19-10-02_YC019_probe1","86",2
74.86,0.013,7.203,0.357,18.197,"19-10-02_YC020_probe1","19",2
75.69,0.011,6.83,0.644,68.43,"19-10-02_YC020_probe1","23",2
41.18,0.021,6.142,0.322,7.97,"19-10-02_YC020_probe1","85",2
57.79,0.016,6.894,0.406,22.073,"19-10-02_YC020_probe1","88",2
37.08,0.024,6.986,0.392,10.146,"19-10-02_YC020_probe1","97",2
215.09,0.004,6.684,0.192,15.207,"19-10-03_YC019_probe1","106",2
