"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","Cluster"
27.74,0.027,6.573,0.716,31.866,"18-08-31_YC003",218,0,0,0,0,0,0.076237424,0.130292546,0.09651638,0.108739902,0.34978768,0.26,0.243260339,0.1,-0.012119751,0.00688743,-0.00652912,0.034978768,0.314808914,0.174893841,0.35,-7.981153061,5.94095392,-1.117988489,1
11.9,0.055,6.282,0.681,12.718,"18-08-31_YC003",222,0,0,0,0,0,0.056641752,0.090484812,0.10344888,0.121254791,0.33867398,0.23,0.235767997,0.1,-0.011654244,0.017119262,-0.003578363,0.033867398,0.304806581,0.16933699,0.339,-9.283284849,6.893024326,-1.038860171,1
9.78,0.076,6.719,0.83,16.364,"18-08-31_YC003",223,0,0,0,0,0,0.054099524,0.10660858,0.092337743,0.104772643,0.28255668,0.23,0.191810662,0.1,-0.011594236,0.007852841,-0.012296357,0.028255668,0.254301015,0.141278341,0.283,-9.31613715,6.664700834,-0.896014259,1
9.68,0.078,6.669,0.71,11.006,"18-08-31_YC003",229,0,0,0,0,0,0.07,0.053179565,0.07,0.07,0.19530779,0.14,0.07,0.1,-0.001601786,0.015889015,-0.026156826,0.019530779,0.175777012,0.097653896,0.195,-9.264940051,7.810345191,-0.124406511,1
5.81,0.072,5.761,1.018,24.034,"18-08-31_YC003",230,0,0,0,0,0,0.031646116,0.052137575,0.075873,0.095328852,0.25318667,0.16,0.202327255,0.1,-0.013872641,0.019996293,-0.029396375,0.025318667,0.227868006,0.126593336,0.253,-8.912937337,9.520419814,-0.736440898,2
29.54,0.025,5.241,0.85,31.314,"18-08-31_YC003",239,0,0,0,0,0,0.032322937,0.101201592,0.098234801,0.12925336,0.15895203,0.26,0.547869044,0.13,0.002481135,0.07256,0.006444729,0.015895203,0.143056825,0.079476014,0.159,-8.925069925,5.566893382,-0.165675834,2
35.03,0.013,4.666,0.709,36.991,"18-08-31_YC003",295,0,0,0,0,0,0.059889035,0.154287525,0.133225278,0.173809623,0.2841694,0.36,0.644436936,0.24,-0.12703514,0.15898114,0.00571535,0.028416941,0.255752465,0.142084703,0.284,-3.968623794,4.452584627,-0.328722438,2
68.49,0.01,5.886,0.607,41.436,"18-08-31_YC003",298,0,0,0,0,0,0.168088407,0.410741159,0.153393383,0.191367841,0.23705055,0.66,0.880917564,0.27,-0.10781627,0.010482614,0.064195633,0.023705055,0.213345493,0.118525274,0.237,-4.117844802,4.631400818,-0.22849553,2
18.69,0.02,4.383,0.663,22.486,"18-08-31_YC003",300,0,0,0,0,0,0.084492987,0.160165021,0.091577299,0.118812052,0.6761914,0.3,0.495819824,0.16,-0.121256,0.24767971,0.019864385,0.067619139,0.608572251,0.338095695,0.676,-5.151354624,7.031158898,-1.024554677,2
21.99,0.032,6.487,0.793,32.097,"18-08-31_YC003",332,0,0,0,0,0,0.031859548,0.099663118,0.084693016,0.107166896,0.17782246,0.23,0.2831866,0.13,-0.014522807,0.035540465,0.000512127,0.017782246,0.16004021,0.088911228,0.178,-8.099499473,6.466367811,-0.408636395,1
15.75,0.04,6.588,0.889,29.062,"18-08-31_YC003",377,0,0,0,0,0,0.085102887,0.182694235,0.112243144,0.143218216,0.37615064,0.36,0.416617387,0.2,-0.051927786,0.07089823,0.033124289,0.037615064,0.338535574,0.188075319,0.376,-4.52746212,4.528477487,-0.780979572,2
12.52,0.063,6.995,0.712,13.35,"18-08-31_YC003",393,0,0,0,0,0,0.10078606,0.130193019,0.239787939,0.269138782,0.70526886,0.43,0.319794374,0.27,-0.06439586,0.0750195,0.035112663,0.070526886,0.634741974,0.35263443,0.705,-6.99340678,4.169510218,-1.715154628,1
22.7,0.032,7.074,0.942,85.525,"18-08-31_YC003",54,0,0,0,0,0,0.066317835,0.115656387,0.084439054,0.101534832,0.72287095,0.23,0.255555402,0.13,-0.02973106,0.056274638,-0.02609847,0.072287095,0.650583851,0.361435473,0.723,-7.479141145,9.221106182,-1.988295524,2
10.42,0.042,5.192,0.785,18.967,"18-08-31_YC003",58,0,0,0,0,0,0.045383583,0.066409087,0.062611197,0.081188395,0.56364036,0.16,0.221215939,0.12,-0.010980942,0.018805174,-0.018096589,0.056364036,0.50727632,0.281820178,0.564,-8.188484333,11.66246477,-1.652064879,1
