"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","NewCluster"
26.08,0.022,4.767,0.502,14.035,"18-12-17_YC009_probe1",627,0,0,0,0,0,"Unknown",4
7.01,0.108,6.815,0.86,18.11,"18-12-17_YC009_probe1",65,0,0,0,0,0,"MLI",1
8.24,0.08,6.561,0.914,16.875,"18-12-17_YC009_probe1",75,0,0,0,0,0,"MLI",1
22.75,0.031,6.741,0.749,29.231,"18-12-17_YC009_probe1",88,0,0,0,0,0,"MLI",1
19.66,0.596,5.525,0.957,4.849,"18-12-17_YC009_probe1",94,0,0,0,0,0,"Gr",2
21.32,0.025,5.618,0.975,64.521,"18-12-17_YC009_probe1",95,0,0,0,0,0,"GoMF",3
12.1,0.079,6.538,0.227,1.138,"18-12-17_YC010_probe1",102,0,0,0,0,0,"MLI",1
25.7,0.024,6,0.819,40.302,"18-12-17_YC010_probe1",113,0,0,0,0,0,"MLI",1
10.25,0.085,6.675,0.521,7.921,"18-12-17_YC010_probe1",191,0,0,0,0,0,"MLI",1
36.53,0.019,6.308,0.774,50.463,"18-12-17_YC010_probe1",193,0,0,0,0,0,"MLI",1
10.27,0.073,5.912,0.377,2.784,"18-12-17_YC010_probe1",2,0,0,0,0,0,"MLI",1
43.72,0.017,6.647,0.807,66.127,"18-12-17_YC010_probe1",272,0,0,0,0,0,"GoMF",3
6.03,0.121,6.602,0.664,5.747,"18-12-17_YC010_probe1",297,0,0,0,0,0,"MLI",1
28.08,0.019,6.285,0.961,64.123,"18-12-17_YC010_probe1",314,1,0,0,0,0,"GoMF",3
30.8,0.022,6.021,0.661,25.599,"18-12-17_YC010_probe1",402,0,0,0,0,0,"MLI",1
10.07,0.087,6.379,0.552,4.604,"18-12-17_YC010_probe1",50,0,0,0,0,0,"MLI",1
14.19,0.071,5.947,0.633,7.571,"18-12-17_YC010_probe1",86,0,0,0,0,0,"MLI",1
4.29,0.197,6.88,0.525,2.491,"18-12-17_YC010_probe1",97,0,0,0,0,0,"MLI",1
2.68,0.035,3.373,0.799,10.109,"18-12-17_YC010_probe1",99,0,0,0,0,0,"GoMF",3
8.08,0.054,5.074,0.822,12.783,"18-12-18_YC010_probe1",0,0,0,0,0,0,"GoMF",3
2.34,0.181,5.436,0.9,6.68,"18-12-18_YC010_probe1",1,0,0,0,0,0,"Gr",2
5.77,0.139,6.788,0.711,5.869,"18-12-18_YC010_probe1",163,0,0,0,0,0,"MLI",1
14.72,0.053,6.232,0.457,5.435,"18-12-18_YC010_probe1",174,0,0,0,0,0,"MLI",1
3.63,0.024,4.019,1.174,57.447,"18-12-18_YC010_probe1",2,0,0,0,0,0,"GoMF",3
1.4,0.218,4.769,0.958,7.233,"18-12-18_YC010_probe1",22,0,0,0,0,0,"Gr",2
83.53,0.009,5.266,0.344,17.8,"18-12-18_YC010_probe1",310,0,0,0,0,0,"Unknown",4
43.84,0.015,6.742,0.879,69.975,"18-12-18_YC010_probe1",34,0,0,0,0,0,"GoMF",3
6.22,0.083,5.617,0.586,5.309,"18-12-18_YC010_probe1",76,0,0,0,0,0,"MLI",1
27.72,0.026,6.103,0.511,11.484,"18-12-18_YC010_probe1",77,0,0,0,0,0,"MLI",1
6.13,0.121,6.58,0.57,4.091,"18-12-18_YC010_probe1",79,0,0,0,0,0,"MLI",1
36.18,0.021,6.548,0.977,120.929,"19-01-16_YC011_probe1",154,0,0,0,0,0,"GoMF",3
8.63,0.088,6.49,0.491,3.836,"19-01-16_YC011_probe1",36,0,0,0,0,0,"MLI",1
4.49,0.139,6.69,0.883,10.333,"19-01-16_YC011_probe1",39,0,0,0,0,0,"MLI",1
8.31,0.105,6.066,0.57,3.878,"19-01-16_YC011_probe1",49,0,0,0,0,0,"MLI",1
21.11,0.037,6.783,0.672,24.936,"19-01-16_YC011_probe1",53,0,0,0,0,0,"MLI",1
9.64,0.063,6.139,0.805,17.848,"19-01-16_YC011_probe1",55,0,0,0,0,0,"MLI",1
4.48,0.176,7.011,0.8,6.654,"19-01-16_YC011_probe1",67,0,0,0,0,0,"MLI",1
17.7,0.048,6.7,0.786,19.22,"19-01-16_YC011_probe1",78,0,0,0,0,0,"MLI",1
19.31,0.032,6.578,0.785,28.247,"19-01-16_YC011_probe1",85,0,0,0,0,0,"MLI",1
