"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","Cluster"
0.5,1.132,5.753,1.012,3.726,"18-08-31_YC004",102,0,0,0,0,0,3
10.04,0.077,6.784,0.595,7.512,"18-08-31_YC004",107,0,0,0,0,0,2
148.15,0.006,6.731,0.243,15.956,"18-08-31_YC004",128,0,0,0,0,0,1
116.53,0.009,6.343,0.584,45.279,"18-08-31_YC004",130,0,0,0,0,0,1
1.72,0.505,6.484,1.315,12.038,"18-08-31_YC004",164,0,0,0,0,0,2
71.81,0.012,6.696,0.388,19.121,"18-08-31_YC004",200,0,0,0,0,0,1
5.47,0.128,6.609,0.705,6.795,"18-08-31_YC004",22,0,0,0,0,0,2
28.16,0.018,3.972,0.466,13.29,"18-08-31_YC004",26,0,0,0,0,0,2
0.85,0.848,5.723,1.06,6.368,"18-08-31_YC004",28,0,0,0,0,0,3
39.19,0.022,7.066,0.517,19.084,"18-08-31_YC004",60,0,0,0,0,0,1
0.48,1.736,4.107,0.896,1.937,"18-08-31_YC004",63,0,0,0,0,0,3
2.17,0.233,5.889,0.837,4.542,"18-08-31_YC004",65,0,0,0,0,0,2
8.39,0.087,6.658,0.66,7.277,"18-08-31_YC004",69,0,0,0,0,0,2
5.82,0.134,6.817,0.63,5.064,"18-08-31_YC004",73,0,0,0,0,0,2
16.21,0.022,5.08,1.013,79.179,"18-08-31_YC004",74,0,0,0,0,0,2
63.57,0.015,6.961,0.31,11.266,"18-08-31_YC004",83,0,0,0,0,0,1
1.3,0.629,7.096,0.797,2.346,"18-08-31_YC004",90,0,0,0,0,0,3
1.02,0.878,7.045,0.815,1.998,"18-08-31_YC004",92,0,0,0,0,0,3
2.81,0.192,6.159,1.141,14.419,"18-09-03_YC005",0,0,0,0,0,0,2
9.74,0.074,6.43,0.852,13.645,"18-09-03_YC005",107,0,0,0,0,0,2
1.22,0.721,7.24,0.774,2.141,"18-09-03_YC005",115,0,0,0,0,0,3
1.58,0.552,7.185,0.783,2.643,"18-09-03_YC005",117,0,0,0,0,0,3
1.28,0.66,7.167,0.842,2.704,"18-09-03_YC005",120,0,0,0,0,0,3
1.32,0.677,7.212,0.786,2.26,"18-09-03_YC005",121,0,0,0,0,0,3
1.29,0.681,7.156,0.821,2.436,"18-09-03_YC005",123,0,0,0,0,0,3
1.07,0.81,7.177,0.827,2.198,"18-09-03_YC005",126,0,0,0,0,0,3
18.22,0.035,5.615,0.785,33.97,"18-09-03_YC005",130,0,0,0,0,0,2
6.87,0.103,6.733,0.656,6.519,"18-09-03_YC005",133,0,0,0,0,0,2
10.27,0.068,6.562,0.733,12.045,"18-09-03_YC005",150,0,0,0,0,0,2
1.45,0.568,7.036,0.854,3.189,"18-09-03_YC005",169,0,0,0,0,0,3
160.95,0.005,6.442,0.272,22.191,"18-09-03_YC005",177,0,0,0,0,0,1
9.97,0.066,6.466,0.821,15.21,"18-09-03_YC005",210,0,0,0,0,0,2
10.6,0.037,5.567,0.94,21.715,"18-09-03_YC005",35,0,0,0,0,0,2
1.3,0.699,7.245,0.767,2.191,"18-09-03_YC005",36,0,0,0,0,0,3
25.82,0.016,3.332,0.485,16.565,"18-09-03_YC005",37,0,0,0,0,0,2
0.97,0.311,5.213,1.046,6.508,"18-09-03_YC005",50,0,0,0,0,0,2
123.89,0.007,6.498,0.39,33.431,"18-09-03_YC005",52,0,0,0,0,0,1
1.44,0.628,7.272,0.792,2.466,"18-09-03_YC005",67,0,0,0,0,0,3
1.45,0.635,7.357,0.752,2.249,"18-09-03_YC005",68,0,0,0,0,0,3
1.47,0.604,7.244,0.767,2.331,"18-09-03_YC005",70,0,0,0,0,0,3
1.48,0.611,7.316,0.744,2.237,"18-09-03_YC005",71,0,0,0,0,0,3
1.7,0.517,7.285,0.767,2.539,"18-09-03_YC005",73,0,0,0,0,0,3
1.41,0.63,7.29,0.769,2.254,"18-09-03_YC005",77,0,0,0,0,0,3
1.03,0.784,5.585,0.921,4.294,"18-09-03_YC005",78,0,0,0,0,0,3
1.38,0.667,7.348,0.697,1.927,"18-09-03_YC005",79,0,0,0,0,0,3
1.43,0.586,7.205,0.856,3.589,"18-09-03_YC005",80,0,0,0,0,0,3
1.52,0.569,7.272,0.799,2.522,"18-09-03_YC005",81,0,0,0,0,0,3
1.16,0.811,7.252,0.75,1.944,"18-09-03_YC005",84,0,0,0,0,0,3
1.08,0.806,7.224,0.822,2.251,"18-09-03_YC005",93,0,0,0,0,0,3
1.57,0.543,7.17,0.766,2.415,"18-09-03_YC005",96,0,0,0,0,0,3
15.79,0.021,4.409,0.83,35.148,"18-09-03_YC006",104,0,0,0,0,0,2
90.49,0.005,3.515,0.234,11.765,"18-09-03_YC006",119,0,0,0,0,0,2
32.64,0.026,6.469,0.644,25.985,"18-09-03_YC006",159,0,0,0,0,0,2
0.97,0.137,4.615,1.429,37.779,"18-09-03_YC006",19,0,0,0,0,0,2
0.94,0.142,4.686,1.456,36.285,"18-09-03_YC006",20,0,0,0,0,0,2
21.36,0.035,6.502,0.588,19.02,"18-09-03_YC006",225,0,0,0,0,0,2
0.79,0.767,5.204,1.007,3.742,"18-09-03_YC006",258,0,0,0,0,0,3
22.82,0.034,6.837,0.783,41.477,"18-09-03_YC006",31,0,0,0,0,0,2
1.92,0.053,4.396,1.107,44.825,"18-09-03_YC006",373,0,0,0,0,0,2
22.2,0.029,6.791,0.823,35.292,"18-09-03_YC006",388,0,0,0,0,0,2
10.07,0.08,6.726,1.143,41.19,"18-09-03_YC006",41,0,0,0,0,0,2
53.91,0.013,5.296,0.392,16.788,"18-09-03_YC006",62,0,0,0,0,0,2
4,0.126,5.177,0.78,6.437,"18-09-03_YC006",66,0,0,0,0,0,2
11.62,0.069,7.037,0.831,18.238,"18-09-03_YC006",8,0,0,0,0,0,2
4.33,0.085,5.01,0.898,11.987,"18-09-03_YC006",82,0,0,0,0,0,2
4.13,0.087,4.765,0.915,12.278,"18-09-03_YC006",83,0,0,0,0,0,2
22.97,0.019,5.285,0.909,78.473,"18-09-03_YC006",86,0,0,0,0,0,2
47.32,0.015,6.261,0.774,55.197,"18-09-03_YC006",98,0,0,0,0,0,2
15.85,0.053,6.773,0.776,19.295,"19-12-13_YC007",84,0,0,0,0,0,2
