MFRBlockHz,tf_MedIsi,tf_Entropy,tf_CV2Mean,tf_LvR,SampleP,Sample,Unit,RespPk,RespGo,RespGr,RespMF,RespMLI,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_MaxAmpNorm,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_End,wf_Crossing,wf_Pk10,wf_Pk90,wf_Pk50,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,Cluster_x,Cluster_y,SmallCluster,SmallClusterName,MeanAmpBlock,ACGViolationRatio,tf_MIFRBlockHz,tf_ModeIsi,tf_Perc5Isi,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_Si,tf_skw,wf_EndSlopeTau
1.54,0.544,7.204,0.77,2.33,18-08-30_YC001,18-08-30_YC001_probe1,240,0,0,0,0,0,0.547235025,0.72396975,0.462694537,0.547986568,0.23828252,1.47,0.734724453,0.5,-0.05560158,0.072878994,0.022233621,0.023828252,0.214454265,0.119141258,0.238,-1.264364966,1.501323465,-0.476432701,3,,2,Complex Spike,29.5,0,2.583,2,0.137,0.749,0.653,0.889,0.606,0.058,0.822,0.218493426
23.35,0.033,6.899,0.62,16.726,18-08-30_YC001,18-08-30_YC001_probe1,241,0,0,0,0,0,0.106375212,0.13840185,0.257801849,0.292531951,0.72485316,0.46,0.330559424,0.3,-0.058918707,0.08126733,0.042153268,0.072485316,0.652367842,0.362426579,0.725,-7.340976866,3.914088707,-1.682025978,1,,1,Purkinke,15.95,0,35.064,0,0.012,0.558,0.689,0.688,0.42,0.037,1.464,0.222135364
1.23,0.699,7.153,0.768,2.019,18-08-30_YC001,18-08-30_YC001_probe1,242,0,0,0,0,0,0.209729367,0.400720226,0.406966935,0.514923737,0.288709,1,0.621350774,0.5,-0.029036762,0.08060695,0.013262108,0.028870901,0.259838113,0.144354507,0.289,-1.717985807,1.527306688,-0.52882004,3,,2,Complex Spike,32.92,0,2.085,3,0.159,0.74,0.647,0.893,0.612,0.059,0.845,0.344267059
1.11,0.778,7.157,0.783,1.959,18-08-30_YC001,18-08-30_YC001_probe1,245,0,0,0,0,0,0.138276358,0.287788508,0.362406841,0.473749112,0.20971209,0.83,0.550719191,0.5,-0.020110697,0.028607832,-0.0051677,0.020971209,0.188740879,0.104856044,0.21,-1.997149042,1.762188253,-0.204717737,3,,2,Complex Spike,27.55,0,1.911,4,0.167,0.734,0.647,0.921,0.641,0.063,0.749,0.311503247
1.43,0.6,7.239,0.822,2.571,18-08-30_YC001,18-08-30_YC001_probe1,254,0,0,0,0,0,0.253710745,0.606494268,0.407676621,0.511596256,0.20255993,1.26,0.70011794,0.64,-0.06691825,0.008680645,0.034370873,0.020255993,0.18230394,0.101279967,0.203,-1.60565164,1.885359466,-0.555493906,3,,2,Complex Spike,18.99,0,2.635,1,0.119,0.797,0.682,0.971,0.684,0.068,0.839,0.235861153
1.21,0.703,7.122,0.746,1.891,18-08-30_YC001,18-08-30_YC001_probe1,256,0,0,0,0,0,0.160559406,0.387677559,0.386938368,0.51391799,0.1947872,1,0.680709473,0.46,-0.064075604,0.002470893,0.012198469,0.01947872,0.175308484,0.097393602,0.195,-2.467748917,1.96158131,-0.191707455,3,,2,Complex Spike,21.84,0,1.985,3,0.173,0.725,0.642,0.86,0.583,0.055,0.912,0.42120245
14.97,0.049,6.624,0.738,17.273,18-08-30_YC001,18-08-30_YC001_probe1,258,0,0,0,0,0,0.133865742,0.188146737,0.184915097,0.245071125,0.7684324,0.46,0.376213149,0.3,-0.06301388,0.10621377,-0.0058633,0.076843238,0.691589141,0.384216189,0.768,-3.988521469,4.542030852,-1.642613671,2,1,3,Potentially MLI,14.1,0,29.004,0,0.012,0.692,0.84,0.853,0.576,0.055,1.564,0.230931102
1.47,0.577,7.113,0.826,2.7,18-08-30_YC001,18-08-30_YC001_probe1,26,0,0,0,0,0,0.063998502,0.133862908,0.067490616,0.086589105,0.7416367,0.24,0.378748279,0.8,-0.038115423,0.09890886,0.076004484,0.074163669,0.667473024,0.370818347,0.742,-8.010134814,9.543491846,-1.343278129,3,,2,Complex Spike,26.94,0,2.76,1,0.115,0.815,0.7,0.981,0.7,0.07,0.907,0.376063822
1.43,0.603,7.231,0.772,2.292,18-08-30_YC001,18-08-30_YC001_probe1,261,0,0,0,0,0,0.049812353,0.128439454,0.127757522,0.174855377,0.24369778,0.33,0.27,0.17,-0.011060902,-0.006920866,-6.01E-05,0.024369778,0.219328,0.121848889,0.244,-7.2093947,4.7542112,-0.803046428,3,,2,Complex Spike,20.09,0,2.455,1,0.142,0.737,0.644,0.901,0.62,0.061,0.79,0.184926067
159.05,0.006,6.06,0.221,14.909,18-08-30_YC001,18-08-30_YC001_probe1,263,0,0,0,0,0,0.055060291,0.112845632,0.093513892,0.122927032,0.3201702,0.26,0.346082653,0.13,-0.026795922,0.066371456,0.010390169,0.032017019,0.288153175,0.160085097,0.32,-5.810617591,6.206179018,-0.70694958,1,,1,Purkinke,17.3,0,173.687,0,0.004,0.15,0.381,0.228,0.075,0.006,2.843,0.296826748
1.26,0.698,7.203,0.768,2.106,18-08-30_YC001,18-08-30_YC001_probe1,264,0,0,0,0,0,0.074187957,0.121735349,0.051563908,0.060999372,1.0276177,0.2,0.298591688,0.1,0.047888152,0.05813696,0.030348747,0.102761769,0.924855924,0.513808846,1.028,-10.09636222,12.7497098,-2.506989111,3,,2,Complex Spike,20.64,0,2.166,2,0.153,0.719,0.633,0.897,0.617,0.06,0.752,0.191029562
